ID,Name,Address
254164,Фитнес Бар,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Южное Тушино, Лодочная улица, дом 43"
278350,«Изумруд» Бильярдный клуб Бар Кафе,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Марьино, Люблинская улица, дом 126"
28552,столовая,"город Москва, 2-й Новокузнецкий переулок, дом 13/15, строение 1"
345160,Милти,"город Москва, Осенний бульвар, дом 12"
373897,Кафе «Грушенька Душенька»,"город Москва, Береговой проезд, дом 5, корпус 3"
288090,Кофе,"город Москва, Красностуденческий проезд, дом 17"
341315,WK UP,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Арбат, улица Новый Арбат, дом 21"
240963,WOK и РИС,"город Москва, Новоясеневский проспект, дом 7"
355936,Tokyo Express,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Хорошевский, Ходынский бульвар, дом 4"
345781,KFC,"город Москва, Михалковская улица, дом 4А"
21179,ШКОЛА 1650,"город Москва, улица Солянка, дом 14А, строение 1"
226645,Вьет Куан,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Москворечье-Сабурово, Каширское шоссе, дом 26"
346297,Буханка,"город Москва, улица Маршала Катукова, дом 6"
22984,РЕСТОРАН «Воробьи»,"город Москва, улица Косыгина, дом 28"
26436,Ресторан «ВЫСОТКА»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, Кудринская площадь, дом 1"
192993,«Кафе «Кулинарная лавка братьев Караваевых»»,"город Москва, Большой Лёвшинский переулок, дом 3"
179893,Столовая ГБОУ ВПО МГПУ института естествознаний и спортивных технологий,"город Москва, улица Чечулина, дом 3, корпус 1"
242770,Столовая ГБОУ Школа № 1517,"город Москва, Карамышевская набережная, дом 38"
275038,SeDelice,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Мещанский, улица Кузнецкий Мост, дом 18/7"
114319,Симит Хауз,"город Москва, Олимпийский проспект, дом 14"
25406,Галилео,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Обручевский, улица Миклухо-Маклая, дом 13"
53050,Иль Патио,"город Москва, Большая Тульская улица, дом 11"
209321,Кафетерий,"город Москва, улица Коштоянца, дом 20, корпус 1"
29213,СТОЛОВАЯ ПРИ ГБОУ Школа № 1503,"город Москва, улица Павла Корчагина, дом 1, строение 1"
320738,Алтаргана,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, Садовая-Черногрязская улица, дом 3Б, строение 1"
304810,Шаурма,"город Москва, улица Хлобыстова, дом 13"
158753,Pho Point,"город Москва, улица Сретенка, дом 1"
255129,Теремок,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Марьино, Поречная улица, дом 10"
28205,Центральный Дом Адвоката,"город Москва, Малый Полуярославский переулок, дом 3/5, строение 1"
217232,Бургер Кинг,"город Москва, Тушинская улица, дом 17"
257357,ГБОУ Школа №1619,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Строгино, Таллинская улица, дом 12, корпус 4"
88618,Чайхона №1 Бутово,"город Москва, Старокачаловская улица, дом 5А"
340243,Дабл Би,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Арбат, Большой Кисловский переулок, дом 1, строение 2"
141266,Marmaris,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Арбат, улица Арбат, дом 22/2, строение 1"
152422,Чистая линия,"город Москва, Тверская улица, дом 5/6"
266213,Шантимэль Cake Boutique,"город Москва, Кировоградская улица, дом 13А"
327303,Балканрест,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Сокольники, улица Стромынка, дом 25, строение 1"
372408,Пекарня Буханка,"Российская Федерация, город Москва, внутригородская территория поселение Филимонковское, квартал № 25, дом 1, корпус 10"
305204,Пекарня Маковка,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Выхино-Жулебино, Рязанский проспект, дом 66"
24436,KFC,"город Москва, Ярославское шоссе, дом 114"
375493,Пицца города,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Южное Бутово, Южнобутовская улица, дом 117"
366651,Хлебница пекарня,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Богородское, Открытое шоссе, дом 5, корпус 11"
303513,Кофе с собой,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Южнопортовый, улица Трофимова, дом 13"
252180,Мята Lounge,"город Москва, Дубнинская улица, дом 32"
340900,Cofix,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Якиманка, Большой Толмачёвский переулок, дом 4, строение 1"
160116,Лепим и Варим,"город Москва, проспект Мира, дом 26, строение 1"
353466,ВАНИЛЬНЫЙ ШПАТЕЛЬ мороженое,"город Москва, проспект Вернадского, дом 86В"
373801,Хинкальная City,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Савеловский, Башиловская улица, дом 19"
29486,СТОЛОВАЯ В МЕДИЦИНСКОЙ АКАДЕМИИ ИМ. И.М. СЕЧЕНОВА,"город Москва, улица Россолимо, дом 11, строение 1"
166061,Шаурма,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бутырский, Бутырская улица, дом 84"
359101,Кафе «Marie»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Филевский Парк, Береговой проезд, дом 5А, корпус 1"
28755,ГБОУ Школа № 1411(606),"город Москва, улица Бестужевых, дом 25Б"
275091,Забыли сахар,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Свиблово, проспект Мира, дом 211, корпус 2"
309034,Крошка-Картошка,"город Москва, Новослободская улица, дом 4"
328450,Верба,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Нагатинский Затон, проспект Андропова, дом 37"
289406,Che Pizza,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Перово, Электродная улица, дом 2, строение 32"
297814,Маэстро пицца,"город Москва, Семёновская площадь, дом 1"
313579,ПРАВDА Кофе,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Даниловский, 2-й Павелецкий проезд, дом 5, строение 1"
202752,The Rooms,"Николоямская улица, дом 38/14/23, строение 3"
194078,Пекарня «Вкусняшка»,"город Москва, Святоозерская улица, дом 1А"
125579,ПРАЙМ,"город Москва, Садовая-Самотёчная улица, дом 24/27"
338071,Веганцвале,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Таганский, Таганская площадь, дом 86/1, строение 1"
21461,ГБПОУ «Педагогический колледж «10»,"город Москва, улица Фёдора Полетаева, дом 2, корпус 7"
373245,Бар-Дак,"город Москва, Полярная улица, дом 27, корпус 3"
352318,GonDola,"город Москва, Кутузовский проспект, дом 57"
375323,Чайхана 24,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Донской, Варшавское шоссе, дом 33, строение 12"
272075,Bro&N,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, Малая Бронная улица, дом 27/14"
229911,Кофейня РАФ and СТАФФ,"город Москва, Каширское шоссе, дом 65, корпус 1"
280589,Шаурма,"город Москва, Грайвороновская улица, дом 19"
181686,Суши Wok,"город Москва, 9-я Парковая улица, дом 59, корпус 2"
328404,Кофе-остров Coffe Rus,"город Москва, Флотская улица, дом 7, строение 1"
28376,Столовая Рабочая,"город Москва, Ленинградский проспект, дом 31А, строение 1"
25276,Кафе-столовая,"город Москва, улица Бирюсинка, дом 6, корпус 1-5"
371868,Кафе у Джона,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Очаково-Матвеевское, Нежинская улица, дом 9, корпус 1"
277340,Шаурма,"город Москва, Свободный проспект, дом 20А"
125541,Столовая,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тропарево-Никулино, улица Мичуринский Проспект, Олимпийская Деревня, дом 1"
88592,Вкусно - и точка,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Северное Бутово, Старокачаловская улица, дом 5А"
347388,EVO Шаурма,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Щукино, улица Народного Ополчения, дом 45"
368729,Лира,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Арбат, улица Новый Арбат, дом 36"
73434,Предприятие быстрого обслуживания «РусЪпай»,"город Москва, Варшавское шоссе, дом 125, корпус 3"
164695,Торт Хауз,"город Москва, город Московский, Радужная улица, дом 8"
345950,Wаурма&Я-Ташкент,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Марфино, улица Академика Королёва, дом 28, корпус 1"
29007,Школа № 463,"город Москва, улица Новинки, дом 8"
268870,Лодка,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Арбат, Новинский бульвар, дом 8"
174446,Black Swan pub and shop,"город Москва, улица Солянка, дом 1/2, строение 1"
338537,Кафетерий,"город Москва, Пятницкое шоссе, дом 18"
318888,SeDelice,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Замоскворечье, Новокузнецкая улица, дом 43/16, строение 2"
27927,Столовая НИИ Пластик,"город Москва, улица Клары Цеткин, дом 18, корпус 1"
202130,Старый Сычуань,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, Лубянский проезд, дом 25, строение 2"
361611,Пекарня Диана,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Замоскворечье, Большая Татарская улица, дом 20, строение 2"
367243,Милти,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Нагорный, Электролитный проезд, дом 16А"
26835,Консул,"город Москва, улица Остоженка, дом 53/2, строение 1"
23413,ОАО «ВИЛС» СТОЛОВАЯ 1,"город Москва, улица Горбунова, дом 2"
269364,Столовая «Азбука Питания»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Замоскворечье, Кожевническая улица, дом 7, строение 1"
