ID,Name,Address,IsNetObject,TypeObject,is_actual
373112,Кофейня Your Time,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Щукино, улица Максимова, дом 5",нет,,
373100,ВЕРТЕЛ ШАУРМА,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Кузьминки, Зеленодольская улица, дом 45, корпус 1",нет,,
373092,Маленький Восток,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Кунцево, Молдавская улица, дом 4",нет,,
373080,Пицунда,"город Москва, Турчанинов переулок, дом 3, строение 1",,,
373074,Моремания,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Перово, Электродная улица, дом 2, строение 32",нет,,
373068,Чайхона,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бескудниковский, Дмитровское шоссе, дом 72",нет,,
373052,Кулинариум,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гагаринский, Ленинский проспект, дом 34/1",,,
372996,Srеда,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Савеловский, 2-я Квесисская улица, дом 23",нет,,
372953,Китайский чайник,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бутырский, Складочная улица, дом 1, строение 1",,,
372948,Столовая,"город Москва, Дмитровское шоссе, дом 60",нет,,
372947,Пицца Экспресс,"Российская Федерация, город Москва, городской округ Троицк, город Троицк, микрорайон ""В"", дом 57А",,,
372936,ASIATICO мясной стиль,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Дорогомилово, площадь Киевского Вокзала, дом 2",нет,,
372929,Токио Рамен,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Дорогомилово, площадь Киевского Вокзала, дом 2",нет,,
372926,ЧАО ПИЦЦА,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Дорогомилово, площадь Киевского Вокзала, дом 2",нет,,
372916,Столовая,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Отрадное, Сигнальный проезд, дом 13, строение 3",нет,,
372899,ПЕКАРНЯ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Донской, улица Шаболовка, дом 30/12",нет,,
372881,Mr. Morning,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Чертаново Центральное, Варшавское шоссе, дом 129, корпус 2",,,
372865,Суши пицца «ТЭНКЕЙ»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Чертаново Южное, Варшавское шоссе, дом 160",нет,,
372849,KEBABUSHKI,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бабушкинский, улица Лётчика Бабушкина, дом 1, корпус 3",нет,,
372793,Кофейня «ЭтоКофе»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Филевский Парк, улица Барклая, дом 12",,,
372765,Хотдоша,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Лианозово, Алтуфьевское шоссе, дом 97",,,
372763,KFC,"город Москва, проспект Мира, дом 114Б, строение 2",да,,
372752,ШАУРМА,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Академический, улица Дмитрия Ульянова, дом 12, корпус 1",нет,,
372737,Фуд-корт Крафт Дог,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Нагорный, Электролитный проезд, дом 16А",нет,,
372717,Hookah Arbat,"улица Арбат, дом 4, строение 1, помещение 2Н/4",,,
372659,Чайхана,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Чертаново Центральное, Чертановская улица, дом 32, строение 2",нет,,
372629,Бургерная,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Солнцево, Солнцевский проспект, дом 26",нет,,
372608,Бургер Кинг,"город Москва, Лазоревый проезд, дом 1А, корпус 3",,,
372605,Кебаб МД,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Южнопортовый, Шарикоподшипниковская улица, дом 40",нет,,
372558,Ресторан Печора,"город Москва, Волоколамское шоссе, дом 62",,,
372538,Перекус,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Хорошевский, улица Куусинена, дом 11, корпус 2",нет,,
372519,Кофейня в Кебабе,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Сокол, Факультетский переулок, дом 7",,,
372517,Штолле,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Аэропорт, Ленинградский проспект, дом 62",да,,
372513,Turkish Doner,"город Москва, Хорошёвское шоссе, дом 88",нет,,
372488,Готовые блюда,"город Москва, Головинское шоссе, дом 5, корпус 1",нет,,
372484,Free&Co,"город Москва, Головинское шоссе, дом 5, корпус 1",,,
372481,Vibe cafe,"город Москва, Головинское шоссе, дом 5, корпус 1",нет,,
372409,Кальян-бар «Beverly»,"город Москва, Бирюлёвская улица, дом 51, корпус 1",нет,,
372408,Пекарня Буханка,"Российская Федерация, город Москва, внутригородская территория поселение Филимонковское, квартал № 25, дом 1, корпус 10",нет,,
372350,Пекарня РублевоФуд,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Кунцево, 2-я Новорублёвская улица, дом 11",нет,,
372309,Восточное бистро,"город Москва, Рязанский проспект, дом 3Б",нет,,
372280,Бублик,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Мещанский, улица Кузнецкий Мост, дом 18/7",нет,,
372277,Кафе «MERANI»,"город Москва, Варшавское шоссе, дом 141, корпус 11",,,
372273,Nebo 53,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, Пресненская набережная, дом 6, строение 2",нет,,
372271,IQ кофе,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, 1-й Красногвардейский проезд, дом 22, строение 2",нет,,
372265,Крошка -картошка,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Останкинский, 2-я Останкинская улица, дом 3",да,,
372213,Smolenka Cafe,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Хамовники, Смоленская улица, дом 3",,,
372178,Буханка,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ярославский, улица Красная Сосна, дом 3",да,,
372176,Лайм 312,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Перово, Зелёный проспект, дом 1А",,,
372137,ФЕРГАНА,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Замоскворечье, Шлюзовая набережная, дом 2/1, строение 1",,,
372079,Шаурма,"город Москва, Ленинградский проспект, дом 58, строение 2",,,
372074,Пекарня,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Филевский Парк, Филёвский бульвар, дом 6",нет,,
372053,Кафе «Робинзон»,"Российская Федерация, город Москва, внутригородская территория поселение Внуковское, квартал № 30, дом 1, строение 1",,,
372048,ПИТА ХАVYC халяль,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Академический, Профсоюзная улица, дом 19",,,
372030,Seasons,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Очаково-Матвеевское, Аминьевское шоссе, дом 6",нет,,
371962,Кафе перекресток,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Войковский, Ленинградское шоссе, дом 16А, строение 4",нет,,
371953,Турецкая кухня «Nelumbо»,"город Москва, Амурская улица, дом 1А, корпус 4",,,
371906,Хлебница пекарня,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Западное Дегунино, Коровинское шоссе, дом 23, корпус 1",да,,
371868,Кафе у Джона,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Очаково-Матвеевское, Нежинская улица, дом 9, корпус 1",,,
371819,Russianwinebar,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Замоскворечье, улица Балчуг, дом 3/2",,,
371797,Кафе «Мейджик»,"город Москва, Измайловский проезд, дом 1",нет,,
371775,Хлебница,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гольяново, Хабаровская улица, дом 8",нет,,
371761,Кафе «Кальянный кот»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Измайлово, Измайловское шоссе, дом 73Ж, строение 5",нет,,
371759,Шашлыйчный дворик №1,"город Москва, Измайловское шоссе, дом 73Ж, строение 33",нет,,
371748,Кафе «Медведь»,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Измайлово, Измайловское шоссе, дом 73Ж",,,
371716,Чайхана Зам-Зам,"город Москва, проспект Маршала Жукова, дом 27",,,
371663,Зерно для тех кто в пути,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Южнопортовый, Волгоградский проспект, земельный участок 24/1",,,
371597,Melissa hookah lounge,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Замоскворечье, Люсиновская улица, дом 41, строение 1",нет,,
371568,Арзон фуд,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Щукино, улица Маршала Василевского, дом 17",нет,,
371537,Буханка,"город Москва, Кронштадтский бульвар, дом 6, корпус 4",да,,
371484,Кулинарная лавка,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Преображенское, Преображенская площадь, дом 12",нет,,
371479,Moment,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Матушкино, город Зеленоград, Панфиловский проспект, дом 6А",нет,,
371475,№257 Shisha lounge room,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Замоскворечье, Пятницкая улица, дом 6/1, строение 1",нет,,
371442,Пекарня,"город Москва, Ленинградское шоссе, дом 58, строение 53",нет,,
371360,Кафе ВОСТОКА,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Братеево, улица Борисовские Пруды, дом 26",,,
371352,Coffe Craft,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Свиблово, проспект Мира, дом 211, корпус 1",нет,,
